, City, State[c], 2018estimate, 2010Census, Change, 2016 land area, 2016 population density, Location,URL
1,New_York_City,NewYork," 8,398,748"," 8,175,133", +2.74%, 301.5 sq mi, 780.9 km2," 28,317/sq mi",https://en.wikipedia.org/wiki/New_York_City
2,Los_Angeles,California," 3,990,456"," 3,792,621", +5.22%, 468.7 sq mi," 1,213.9 km2"," 8,484/sq mi",https://en.wikipedia.org/wiki/Los_Angeles
3,Chicago,Illinois," 2,705,994"," 2,695,598", +0.39%, 227.3 sq mi, 588.7 km2," 11,900/sq mi",https://en.wikipedia.org/wiki/Chicago
4,Houston,Texas," 2,325,502"," 2,100,263", +10.72%, 637.5 sq mi," 1,651.1 km2"," 3,613/sq mi",https://en.wikipedia.org/wiki/Houston
5,Phoenix,Arizona," 1,660,272"," 1,445,632", +14.85%, 517.6 sq mi," 1,340.6 km2"," 3,120/sq mi",https://en.wikipedia.org/wiki/Phoenix
6,Philadelphia,Pennsylvania," 1,584,138"," 1,526,006", +3.81%, 134.2 sq mi, 347.6 km2," 11,683/sq mi",https://en.wikipedia.org/wiki/Philadelphia
7,San_Antonio,Texas," 1,532,233"," 1,327,407", +15.43%, 461.0 sq mi," 1,194.0 km2"," 3,238/sq mi",https://en.wikipedia.org/wiki/San_Antonio
8,San_Diego,California," 1,425,976"," 1,307,402", +9.07%, 325.2 sq mi, 842.3 km2," 4,325/sq mi",https://en.wikipedia.org/wiki/San_Diego
9,Dallas,Texas," 1,345,047"," 1,197,816", +12.29%, 340.9 sq mi, 882.9 km2," 3,866/sq mi",https://en.wikipedia.org/wiki/Dallas
10,San_Jose,California," 1,030,119"," 945,942", +8.90%, 177.5 sq mi, 459.7 km2," 5,777/sq mi",https://en.wikipedia.org/wiki/San_Jose
11,Austin,Texas," 964,254"," 790,390", +22.00%, 312.7 sq mi, 809.9 km2," 3,031/sq mi",https://en.wikipedia.org/wiki/Austin
12,Jacksonville,Florida," 903,889"," 821,784", +9.99%, 747.4 sq mi," 1,935.8 km2"," 1,178/sq mi",https://en.wikipedia.org/wiki/Jacksonville
13,Fort_Worth,Texas," 895,008"," 741,206", +20.75%, 342.9 sq mi, 888.1 km2," 2,491/sq mi",https://en.wikipedia.org/wiki/Fort_Worth
14,Columbus,Ohio," 892,533"," 787,033", +13.40%, 218.5 sq mi, 565.9 km2," 3,936/sq mi",https://en.wikipedia.org/wiki/Columbus
15,San_Francisco,California," 883,305"," 805,235", +9.70%, 46.9 sq mi, 121.5 km2," 18,569/sq mi",https://en.wikipedia.org/wiki/San_Francisco
16,Charlotte,NorthCarolina," 872,498"," 731,424", +19.29%, 305.4 sq mi, 791.0 km2," 2,757/sq mi",https://en.wikipedia.org/wiki/Charlotte
17,Indianapolis,Indiana," 867,125"," 820,445", +5.69%, 361.5 sq mi, 936.3 km2," 2,366/sq mi",https://en.wikipedia.org/wiki/Indianapolis
18,Seattle,Washington," 744,955"," 608,660", +22.39%, 83.8 sq mi, 217.0 km2," 8,405/sq mi",https://en.wikipedia.org/wiki/Seattle
19,Denver,Colorado," 716,492"," 600,158", +19.38%, 153.3 sq mi, 397.0 km2," 4,521/sq mi",https://en.wikipedia.org/wiki/Denver
20,"Washington,_D.C.",DistrictofColumbia," 702,455"," 601,723", +16.74%, 61.1 sq mi, 158.2 km2," 11,148/sq mi","https://en.wikipedia.org/wiki/Washington,_D.C."
21,Boston,Massachusetts," 694,583"," 617,594", +12.47%, 48.3 sq mi, 125.1 km2," 13,938/sq mi",https://en.wikipedia.org/wiki/Boston
22,El_Paso,Texas," 682,669"," 649,121", +5.17%, 256.8 sq mi, 665.1 km2," 2,660/sq mi",https://en.wikipedia.org/wiki/El_Paso
23,Detroit,Michigan," 672,662"," 713,777", −5.76%, 138.8 sq mi, 359.5 km2," 4,847/sq mi",https://en.wikipedia.org/wiki/Detroit
24,Nashville,Tennessee," 669,053"," 601,222", +11.28%, 475.9 sq mi," 1,232.6 km2"," 1,388/sq mi",https://en.wikipedia.org/wiki/Nashville
25,Portland,Oregon," 653,115"," 583,776", +11.88%, 133.5 sq mi, 345.8 km2," 4,793/sq mi",https://en.wikipedia.org/wiki/Portland
26,Memphis,Tennessee," 650,618"," 646,889", +0.58%, 317.4 sq mi, 822.1 km2," 2,056/sq mi",https://en.wikipedia.org/wiki/Memphis
27,Oklahoma_City,Oklahoma," 649,021"," 579,999", +11.90%, 606.3 sq mi," 1,570.3 km2"," 1,053/sq mi",https://en.wikipedia.org/wiki/Oklahoma_City
28,Las_Vegas,Nevada," 644,644"," 583,756", +10.43%, 134.4 sq mi, 348.1 km2," 4,709/sq mi",https://en.wikipedia.org/wiki/Las_Vegas
29,Louisville,Kentucky," 620,118"," 597,337", +3.81%, 263.5 sq mi, 682.5 km2," 2,339/sq mi",https://en.wikipedia.org/wiki/Louisville
30,Baltimore,Maryland," 602,495"," 620,961", −2.97%, 80.9 sq mi, 209.5 km2," 7,598/sq mi",https://en.wikipedia.org/wiki/Baltimore
31,Milwaukee,Wisconsin," 592,025"," 594,833", −0.47%, 96.2 sq mi, 249.2 km2," 6,186/sq mi",https://en.wikipedia.org/wiki/Milwaukee
32,Albuquerque,NewMexico," 560,218"," 545,852", +2.63%, 188.2 sq mi, 487.4 km2," 2,972/sq mi",https://en.wikipedia.org/wiki/Albuquerque
33,Tucson,Arizona," 545,975"," 520,116", +4.97%, 230.8 sq mi, 597.8 km2," 2,299/sq mi",https://en.wikipedia.org/wiki/Tucson
34,Fresno,California," 530,093"," 494,665", +7.16%, 114.4 sq mi, 296.3 km2," 4,563/sq mi",https://en.wikipedia.org/wiki/Fresno
35,Mesa,Arizona," 508,958"," 439,041", +15.92%, 137.9 sq mi, 357.2 km2," 3,514/sq mi",https://en.wikipedia.org/wiki/Mesa
36,Sacramento,California," 508,529"," 466,488", +9.01%, 97.9 sq mi, 253.6 km2," 5,059/sq mi",https://en.wikipedia.org/wiki/Sacramento
37,Atlanta,Georgia," 498,044"," 420,003", +18.58%, 133.5 sq mi, 345.8 km2," 3,539/sq mi",https://en.wikipedia.org/wiki/Atlanta
38,Kansas_City,Missouri," 491,918"," 459,787", +6.99%, 315.0 sq mi, 815.8 km2," 1,528/sq mi",https://en.wikipedia.org/wiki/Kansas_City
39,Colorado_Springs,Colorado," 472,688"," 416,427", +13.51%, 195.6 sq mi, 506.6 km2," 2,378/sq mi",https://en.wikipedia.org/wiki/Colorado_Springs
40,Miami,Florida," 470,914"," 399,457", +17.89%, 36.0 sq mi, 93.2 km2," 12,599/sq mi",https://en.wikipedia.org/wiki/Miami
41,Raleigh,NorthCarolina," 469,298"," 403,892", +16.19%, 145.1 sq mi, 375.8 km2," 3,163/sq mi",https://en.wikipedia.org/wiki/Raleigh
42,Omaha,Nebraska," 468,262"," 408,958", +14.50%, 133.2 sq mi, 345.0 km2," 3,356/sq mi",https://en.wikipedia.org/wiki/Omaha
43,Long_Beach,California," 467,354"," 462,257", +1.10%, 50.3 sq mi, 130.3 km2," 9,347/sq mi",https://en.wikipedia.org/wiki/Long_Beach
44,Virginia_Beach,Virginia," 450,189"," 437,994", +2.78%, 244.7 sq mi, 633.8 km2," 1,850/sq mi",https://en.wikipedia.org/wiki/Virginia_Beach
45,Oakland,California," 429,082"," 390,724", +9.82%, 55.9 sq mi, 144.8 km2," 7,514/sq mi",https://en.wikipedia.org/wiki/Oakland
46,Minneapolis,Minnesota," 425,403"," 382,578", +11.19%, 54.0 sq mi, 139.9 km2," 7,660/sq mi",https://en.wikipedia.org/wiki/Minneapolis
47,Tulsa,Oklahoma," 400,669"," 391,906", +2.24%, 196.8 sq mi, 509.7 km2," 2,048/sq mi",https://en.wikipedia.org/wiki/Tulsa
48,Arlington,Texas," 398,112"," 365,438", +8.94%, 95.8 sq mi, 248.1 km2," 4,100/sq mi",https://en.wikipedia.org/wiki/Arlington
49,Tampa,Florida," 392,890"," 335,709", +17.03%, 113.4 sq mi, 293.7 km2," 3,326/sq mi",https://en.wikipedia.org/wiki/Tampa
50,New_Orleans,Louisiana," 391,006"," 343,829", +13.72%, 169.4 sq mi, 438.7 km2," 2,311/sq mi",https://en.wikipedia.org/wiki/New_Orleans
51,Wichita,Kansas," 389,255"," 382,368", +1.80%, 160.4 sq mi, 415.4 km2," 2,431/sq mi",https://en.wikipedia.org/wiki/Wichita
52,Cleveland,Ohio," 383,793"," 396,815", −3.28%, 77.7 sq mi, 201.2 km2," 4,965/sq mi",https://en.wikipedia.org/wiki/Cleveland
53,Bakersfield,California," 383,579"," 347,483", +10.39%, 148.8 sq mi, 385.4 km2," 2,529/sq mi",https://en.wikipedia.org/wiki/Bakersfield
54,Aurora,Colorado," 374,114"," 325,078", +15.08%, 153.5 sq mi, 397.6 km2," 2,356/sq mi",https://en.wikipedia.org/wiki/Aurora
55,Anaheim,California," 352,005"," 336,265", +4.68%, 50.0 sq mi, 129.5 km2," 7,021/sq mi",https://en.wikipedia.org/wiki/Anaheim
56,Honolulu,Hawaii," 347,397"," 337,256", +3.01%, 60.5 sq mi, 156.7 km2," 5,815/sq mi",https://en.wikipedia.org/wiki/Honolulu
57,Santa_Ana,California," 332,725"," 324,528", +2.53%, 27.1 sq mi, 70.2 km2," 12,333/sq mi",https://en.wikipedia.org/wiki/Santa_Ana
58,Riverside,California," 330,063"," 303,871", +8.62%, 81.2 sq mi, 210.3 km2," 3,999/sq mi",https://en.wikipedia.org/wiki/Riverside
59,Corpus_Christi,Texas," 326,554"," 305,215", +6.99%, 174.6 sq mi, 452.2 km2," 1,866/sq mi",https://en.wikipedia.org/wiki/Corpus_Christi
60,Lexington,Kentucky," 323,780"," 295,803", +9.46%, 283.6 sq mi, 734.5 km2," 1,123/sq mi",https://en.wikipedia.org/wiki/Lexington
61,Stockton,California," 311,178"," 291,707", +6.67%, 61.7 sq mi, 159.8 km2," 4,977/sq mi",https://en.wikipedia.org/wiki/Stockton
62,Henderson,Nevada," 310,390"," 257,729", +20.43%, 104.7 sq mi, 271.2 km2," 2,798/sq mi",https://en.wikipedia.org/wiki/Henderson
63,Saint_Paul,Minnesota," 307,695"," 285,068", +7.94%, 52.0 sq mi, 134.7 km2," 5,815/sq mi",https://en.wikipedia.org/wiki/Saint_Paul
64,St_Louis,Missouri," 302,838"," 319,294", −5.15%, 62.0 sq mi, 160.6 km2," 5,023/sq mi",https://en.wikipedia.org/wiki/St_Louis
65,Cincinnati,Ohio," 302,605"," 296,943", +1.91%, 77.4 sq mi, 200.5 km2," 3,860/sq mi",https://en.wikipedia.org/wiki/Cincinnati
66,Pittsburgh,Pennsylvania," 301,048"," 305,704", −1.52%, 55.4 sq mi, 143.5 km2," 5,481/sq mi",https://en.wikipedia.org/wiki/Pittsburgh
67,Greensboro,NorthCarolina," 294,722"," 269,666", +9.29%, 128.3 sq mi, 332.3 km2," 2,237/sq mi",https://en.wikipedia.org/wiki/Greensboro
68,Anchorage,Alaska," 291,538"," 291,826", −0.10%," 1,706.6 sq mi"," 4,420.1 km2", 175/sq mi,https://en.wikipedia.org/wiki/Anchorage
69,Plano,Texas," 288,061"," 259,841", +10.86%, 71.7 sq mi, 185.7 km2," 3,990/sq mi",https://en.wikipedia.org/wiki/Plano
70,Lincoln,Nebraska," 287,401"," 258,379", +11.23%, 92.1 sq mi, 238.5 km2," 3,044/sq mi",https://en.wikipedia.org/wiki/Lincoln
71,Orlando,Florida," 285,713"," 238,300", +19.90%, 105.2 sq mi, 272.5 km2," 2,635/sq mi",https://en.wikipedia.org/wiki/Orlando
72,Irvine,California," 282,572"," 212,375", +33.05%, 65.6 sq mi, 169.9 km2," 4,057/sq mi",https://en.wikipedia.org/wiki/Irvine
73,Newark,NewJersey," 282,090"," 277,140", +1.79%, 24.1 sq mi, 62.4 km2," 11,691/sq mi",https://en.wikipedia.org/wiki/Newark
74,Toledo,Ohio," 274,975"," 287,208", −4.26%, 80.7 sq mi, 209.0 km2," 3,451/sq mi",https://en.wikipedia.org/wiki/Toledo
75,Durham,NorthCarolina," 274,291"," 228,330", +20.13%, 109.8 sq mi, 284.4 km2," 2,395/sq mi",https://en.wikipedia.org/wiki/Durham
76,Chula_Vista,California," 271,651"," 243,916", +11.37%, 49.6 sq mi, 128.5 km2," 5,387/sq mi",https://en.wikipedia.org/wiki/Chula_Vista
77,Fort_Wayne,Indiana," 267,633"," 253,691", +5.50%, 110.6 sq mi, 286.5 km2," 2,391/sq mi",https://en.wikipedia.org/wiki/Fort_Wayne
78,Jersey_City,NewJersey," 265,549"," 247,597", +7.25%, 14.8 sq mi, 38.3 km2," 17,848/sq mi",https://en.wikipedia.org/wiki/Jersey_City
79,St_Petersburg,Florida," 265,098"," 244,769", +8.31%, 61.8 sq mi, 160.1 km2," 4,223/sq mi",https://en.wikipedia.org/wiki/St_Petersburg
80,Laredo,Texas," 261,639"," 236,091", +10.82%, 101.1 sq mi, 261.8 km2," 2,544/sq mi",https://en.wikipedia.org/wiki/Laredo
81,Madison,Wisconsin," 258,054"," 233,209", +10.65%, 77.0 sq mi, 199.4 km2," 3,280/sq mi",https://en.wikipedia.org/wiki/Madison
82,Chandler,Arizona," 257,165"," 236,123", +8.91%, 64.9 sq mi, 168.1 km2," 3,813/sq mi",https://en.wikipedia.org/wiki/Chandler
83,Buffalo,NewYork," 256,304"," 261,310", −1.92%, 40.4 sq mi, 104.6 km2," 6,359/sq mi",https://en.wikipedia.org/wiki/Buffalo
84,Lubbock,Texas," 255,885"," 229,573", +11.46%, 124.6 sq mi, 322.7 km2," 2,027/sq mi",https://en.wikipedia.org/wiki/Lubbock
85,Scottsdale,Arizona," 255,310"," 217,385", +17.45%, 183.9 sq mi, 476.3 km2," 1,341/sq mi",https://en.wikipedia.org/wiki/Scottsdale
86,Reno,Nevada," 250,998"," 225,221", +11.45%, 107.3 sq mi, 277.9 km2," 2,286/sq mi",https://en.wikipedia.org/wiki/Reno
87,Glendale,Arizona," 250,702"," 226,721", +10.58%, 59.1 sq mi, 153.1 km2," 4,161/sq mi",https://en.wikipedia.org/wiki/Glendale
88,Gilbert,Arizona," 248,279"," 208,453", +19.11%, 68.0 sq mi, 176.1 km2," 3,487/sq mi",https://en.wikipedia.org/wiki/Gilbert
89,Winston_Salem,NorthCarolina," 246,328"," 229,617", +7.28%, 132.5 sq mi, 343.2 km2," 1,828/sq mi",https://en.wikipedia.org/wiki/Winston_Salem
90,North_Las_Vegas,Nevada," 245,949"," 216,961", +13.36%, 98.0 sq mi, 253.8 km2," 2,436/sq mi",https://en.wikipedia.org/wiki/North_Las_Vegas
91,Norfolk,Virginia," 244,076"," 242,803", +0.52%, 53.3 sq mi, 138.0 km2," 4,599/sq mi",https://en.wikipedia.org/wiki/Norfolk
92,Chesapeake,Virginia," 242,634"," 222,209", +9.19%, 338.5 sq mi, 876.7 km2, 703/sq mi,https://en.wikipedia.org/wiki/Chesapeake
93,Garland,Texas," 242,507"," 226,876", +6.89%, 57.0 sq mi, 147.6 km2," 4,122/sq mi",https://en.wikipedia.org/wiki/Garland
94,Irving,Texas," 242,242"," 216,290", +12.00%, 67.0 sq mi, 173.5 km2," 3,557/sq mi",https://en.wikipedia.org/wiki/Irving
95,Hialeah,Florida," 238,942"," 224,669", +6.35%, 21.5 sq mi, 55.7 km2," 10,995/sq mi",https://en.wikipedia.org/wiki/Hialeah
96,Fremont,California," 237,807"," 214,089", +11.08%, 77.5 sq mi, 200.7 km2," 3,008/sq mi",https://en.wikipedia.org/wiki/Fremont
97,Boise,Idaho," 228,790"," 205,671", +11.24%, 82.1 sq mi, 212.6 km2," 2,718/sq mi",https://en.wikipedia.org/wiki/Boise
98,Richmond,Virginia," 228,783"," 204,214", +12.03%, 59.8 sq mi, 154.9 km2," 3,732/sq mi",https://en.wikipedia.org/wiki/Richmond
99,Baton_Rouge,Louisiana," 221,599"," 229,493", −3.44%, 85.9 sq mi, 222.5 km2," 2,651/sq mi",https://en.wikipedia.org/wiki/Baton_Rouge
100,Spokane,Washington," 219,190"," 208,916", +4.92%, 68.7 sq mi, 177.9 km2," 3,144/sq mi",https://en.wikipedia.org/wiki/Spokane
101,Des_Moines,Iowa," 216,853"," 203,433", +6.60%, 88.9 sq mi, 230.2 km2," 2,424/sq mi",https://en.wikipedia.org/wiki/Des_Moines
102,Tacoma,Washington," 216,279"," 198,397", +9.01%, 49.7 sq mi, 128.7 km2," 4,251/sq mi",https://en.wikipedia.org/wiki/Tacoma
103,San_Bernardino,California," 215,941"," 209,924", +2.87%, 61.5 sq mi, 159.3 km2," 3,516/sq mi",https://en.wikipedia.org/wiki/San_Bernardino
104,Modesto,California," 215,030"," 201,165", +6.89%, 43.0 sq mi, 111.4 km2," 4,934/sq mi",https://en.wikipedia.org/wiki/Modesto
105,Fontana,California," 213,739"," 196,069", +9.01%, 43.0 sq mi, 111.4 km2," 4,876/sq mi",https://en.wikipedia.org/wiki/Fontana
106,Santa_Clarita,California," 210,089"," 176,320", +19.15%, 52.8 sq mi, 136.8 km2," 3,446/sq mi",https://en.wikipedia.org/wiki/Santa_Clarita
107,Birmingham,Alabama," 209,880"," 212,237", −1.11%, 146.1 sq mi, 378.4 km2," 1,452/sq mi",https://en.wikipedia.org/wiki/Birmingham
108,Oxnard,California," 209,877"," 197,899", +6.05%, 26.9 sq mi, 69.7 km2," 7,729/sq mi",https://en.wikipedia.org/wiki/Oxnard
109,Fayetteville,NorthCarolina," 209,468"," 200,564", +4.44%, 147.7 sq mi, 382.5 km2," 1,386/sq mi",https://en.wikipedia.org/wiki/Fayetteville
110,Moreno_Valley,California," 209,050"," 193,365", +8.11%, 51.3 sq mi, 132.9 km2," 4,006/sq mi",https://en.wikipedia.org/wiki/Moreno_Valley
111,Rochester,NewYork," 206,284"," 210,565", −2.03%, 35.8 sq mi, 92.7 km2," 5,835/sq mi",https://en.wikipedia.org/wiki/Rochester
112,Glendale,California," 201,361"," 191,719", +5.03%, 30.4 sq mi, 78.7 km2," 6,606/sq mi",https://en.wikipedia.org/wiki/Glendale
113,Huntington_Beach,California," 200,641"," 189,992", +5.60%, 26.9 sq mi, 69.7 km2," 7,459/sq mi",https://en.wikipedia.org/wiki/Huntington_Beach
114,Salt_Lake_City,Utah," 200,591"," 186,440", +7.59%, 111.2 sq mi, 288.0 km2," 1,742/sq mi",https://en.wikipedia.org/wiki/Salt_Lake_City
115,Grand_Rapids,Michigan," 200,217"," 188,040", +6.48%, 44.4 sq mi, 115.0 km2," 4,424/sq mi",https://en.wikipedia.org/wiki/Grand_Rapids
116,Amarillo,Texas," 199,924"," 190,695", +4.84%, 101.4 sq mi, 262.6 km2," 1,968/sq mi",https://en.wikipedia.org/wiki/Amarillo
117,Yonkers,NewYork," 199,663"," 195,976", +1.88%, 18.0 sq mi, 46.6 km2," 11,156/sq mi",https://en.wikipedia.org/wiki/Yonkers
118,Aurora,Illinois," 199,602"," 197,899", +0.86%, 44.9 sq mi, 116.3 km2," 4,479/sq mi",https://en.wikipedia.org/wiki/Aurora
119,Montgomery,Alabama," 198,218"," 205,764", −3.67%, 159.8 sq mi, 413.9 km2," 1,252/sq mi",https://en.wikipedia.org/wiki/Montgomery
120,Akron,Ohio," 198,006"," 199,110", −0.55%, 62.0 sq mi, 160.6 km2," 3,188/sq mi",https://en.wikipedia.org/wiki/Akron
121,Little_Rock,Arkansas," 197,881"," 193,524", +2.25%, 118.7 sq mi, 307.4 km2," 1,673/sq mi",https://en.wikipedia.org/wiki/Little_Rock
122,Huntsville,Alabama," 197,318"," 180,105", +9.56%, 213.4 sq mi, 552.7 km2, 905/sq mi,https://en.wikipedia.org/wiki/Huntsville
123,Augusta,Georgia," 196,939"," 195,844", +0.56%, 302.5 sq mi, 783.5 km2, 652/sq mi,https://en.wikipedia.org/wiki/Augusta
124,Port_St_Lucie,Florida," 195,248"," 164,603", +18.62%, 118.9 sq mi, 307.9 km2," 1,557/sq mi",https://en.wikipedia.org/wiki/Port_St_Lucie
125,Grand_Prairie,Texas," 194,614"," 175,396", +10.96%, 72.3 sq mi, 187.3 km2," 2,637/sq mi",https://en.wikipedia.org/wiki/Grand_Prairie
126,Columbus,Georgia," 194,160"," 189,885", +2.25%, 216.4 sq mi, 560.5 km2, 913/sq mi,https://en.wikipedia.org/wiki/Columbus
127,Tallahassee,Florida," 193,551"," 181,376", +6.71%, 100.4 sq mi, 260.0 km2," 1,901/sq mi",https://en.wikipedia.org/wiki/Tallahassee
128,Overland_Park,Kansas," 192,536"," 173,372", +11.05%, 75.1 sq mi, 194.5 km2," 2,516/sq mi",https://en.wikipedia.org/wiki/Overland_Park
129,Tempe,Arizona," 192,364"," 161,719", +18.95%, 40.0 sq mi, 103.6 km2," 4,562/sq mi",https://en.wikipedia.org/wiki/Tempe
130,McKinney,Texas," 191,645"," 131,117", +46.16%, 63.0 sq mi, 163.2 km2," 2,735/sq mi",https://en.wikipedia.org/wiki/McKinney
131,Mobile,Alabama," 189,572"," 195,111", −2.84%, 139.4 sq mi, 361.0 km2," 1,384/sq mi",https://en.wikipedia.org/wiki/Mobile
132,Cape_Coral,Florida," 189,343"," 154,305", +22.71%, 105.6 sq mi, 273.5 km2," 1,703/sq mi",https://en.wikipedia.org/wiki/Cape_Coral
133,Shreveport,Louisiana," 188,987"," 199,311", −5.18%, 107.1 sq mi, 277.4 km2," 1,820/sq mi",https://en.wikipedia.org/wiki/Shreveport
134,Frisco,Texas," 188,170"," 116,989", +60.84%, 67.7 sq mi, 175.3 km2," 2,417/sq mi",https://en.wikipedia.org/wiki/Frisco
135,Knoxville,Tennessee," 187,500"," 178,874", +4.82%, 98.5 sq mi, 255.1 km2," 1,891/sq mi",https://en.wikipedia.org/wiki/Knoxville
136,Worcester,Massachusetts," 185,877"," 181,045", +2.67%, 37.4 sq mi, 96.9 km2," 4,933/sq mi",https://en.wikipedia.org/wiki/Worcester
137,Brownsville,Texas," 183,392"," 175,023", +4.78%, 132.5 sq mi, 343.2 km2," 1,387/sq mi",https://en.wikipedia.org/wiki/Brownsville
138,Vancouver,Washington," 183,012"," 161,791", +13.12%, 46.9 sq mi, 121.5 km2," 3,728/sq mi",https://en.wikipedia.org/wiki/Vancouver
139,Fort_Lauderdale,Florida," 182,595"," 165,521", +10.32%, 34.6 sq mi, 89.6 km2," 5,166/sq mi",https://en.wikipedia.org/wiki/Fort_Lauderdale
140,Sioux_Falls,SouthDakota," 181,883"," 153,888", +18.19%, 75.4 sq mi, 195.3 km2," 2,312/sq mi",https://en.wikipedia.org/wiki/Sioux_Falls
