, City, State[c], 2018estimate, 2010Census, Change, 2016 land area, 2016 population density, Location,URL
181,Torrance,California," 145,182"," 145,438", −0.18%, 20.5 sq mi, 53.1 km2," 7,180/sq mi",https://en.wikipedia.org/wiki/Torrance
182,Bridgeport,Connecticut," 144,900"," 144,229", +0.47%, 16.1 sq mi, 41.7 km2," 9,064/sq mi",https://en.wikipedia.org/wiki/Bridgeport
183,McAllen,Texas," 143,433"," 129,877", +10.44%, 58.4 sq mi, 151.3 km2," 2,435/sq mi",https://en.wikipedia.org/wiki/McAllen
184,Mesquite,Texas," 142,816"," 139,824", +2.14%, 47.2 sq mi, 122.2 km2," 3,045/sq mi",https://en.wikipedia.org/wiki/Mesquite
185,Syracuse,NewYork," 142,749"," 145,170", −1.67%, 25.0 sq mi, 64.7 km2," 5,735/sq mi",https://en.wikipedia.org/wiki/Syracuse
186,Midland,Texas," 142,344"," 111,147", +28.07%, 74.4 sq mi, 192.7 km2," 1,809/sq mi",https://en.wikipedia.org/wiki/Midland
187,Pasadena,California," 141,371"," 137,122", +3.10%, 23.0 sq mi, 59.6 km2," 6,176/sq mi",https://en.wikipedia.org/wiki/Pasadena
188,Murfreesboro,Tennessee," 141,344"," 108,755", +29.97%, 55.9 sq mi, 144.8 km2," 2,360/sq mi",https://en.wikipedia.org/wiki/Murfreesboro
189,Miramar,Florida," 140,823"," 122,041", +15.39%, 29.4 sq mi, 76.1 km2," 4,709/sq mi",https://en.wikipedia.org/wiki/Miramar
190,Dayton,Ohio," 140,640"," 141,527", −0.63%, 55.7 sq mi, 144.3 km2," 2,522/sq mi",https://en.wikipedia.org/wiki/Dayton
191,Fullerton,California," 139,640"," 135,161", +3.31%, 22.4 sq mi, 58.0 km2," 6,282/sq mi",https://en.wikipedia.org/wiki/Fullerton
192,Olathe,Kansas," 139,605"," 125,872", +10.91%, 60.9 sq mi, 157.7 km2," 2,225/sq mi",https://en.wikipedia.org/wiki/Olathe
193,Orange,California," 139,484"," 136,416", +2.25%, 25.4 sq mi, 65.8 km2," 5,532/sq mi",https://en.wikipedia.org/wiki/Orange
194,Thornton,Colorado," 139,436"," 118,772", +17.40%, 35.7 sq mi, 92.5 km2," 3,829/sq mi",https://en.wikipedia.org/wiki/Thornton
195,Roseville,California," 139,117"," 118,788", +17.11%, 43.0 sq mi, 111.4 km2," 3,085/sq mi",https://en.wikipedia.org/wiki/Roseville
196,Denton,Texas," 138,541"," 113,383", +22.19%, 93.4 sq mi, 241.9 km2," 1,433/sq mi",https://en.wikipedia.org/wiki/Denton
197,Waco,Texas," 138,183"," 124,805", +10.72%, 89.0 sq mi, 230.5 km2," 1,510/sq mi",https://en.wikipedia.org/wiki/Waco
198,Surprise,Arizona," 138,161"," 117,517", +17.57%, 107.9 sq mi, 279.5 km2," 1,230/sq mi",https://en.wikipedia.org/wiki/Surprise
199,Carrollton,Texas," 136,879"," 119,097", +14.93%, 36.3 sq mi, 94.0 km2," 3,674/sq mi",https://en.wikipedia.org/wiki/Carrollton
200,West_Valley_City,Utah," 136,401"," 129,480", +5.35%, 35.5 sq mi, 91.9 km2," 3,847/sq mi",https://en.wikipedia.org/wiki/West_Valley_City
201,Charleston,SouthCarolina," 136,208"," 120,083", +13.43%, 109.0 sq mi, 282.3 km2," 1,233/sq mi",https://en.wikipedia.org/wiki/Charleston
202,Warren,Michigan," 134,587"," 134,056", +0.40%, 34.4 sq mi, 89.1 km2," 3,928/sq mi",https://en.wikipedia.org/wiki/Warren
203,Hampton,Virginia," 134,313"," 137,436", −2.27%, 51.5 sq mi, 133.4 km2," 2,629/sq mi",https://en.wikipedia.org/wiki/Hampton
204,Gainesville,Florida," 133,857"," 124,354", +7.64%, 62.3 sq mi, 161.4 km2," 2,112/sq mi",https://en.wikipedia.org/wiki/Gainesville
205,Visalia,California," 133,800"," 124,442", +7.52%, 37.5 sq mi, 97.1 km2," 3,495/sq mi",https://en.wikipedia.org/wiki/Visalia
206,Coral_Springs,Florida," 133,507"," 121,096", +10.25%, 23.8 sq mi, 61.6 km2," 5,465/sq mi",https://en.wikipedia.org/wiki/Coral_Springs
207,Columbia,SouthCarolina," 133,451"," 129,272", +3.23%, 133.5 sq mi, 345.8 km2," 1,006/sq mi",https://en.wikipedia.org/wiki/Columbia
208,Cedar_Rapids,Iowa," 133,174"," 126,326", +5.42%, 70.8 sq mi, 183.4 km2," 1,852/sq mi",https://en.wikipedia.org/wiki/Cedar_Rapids
209,Sterling_Heights,Michigan," 132,964"," 129,699", +2.52%, 36.5 sq mi, 94.5 km2," 3,628/sq mi",https://en.wikipedia.org/wiki/Sterling_Heights
210,New_Haven,Connecticut," 130,418"," 129,779", +0.49%, 18.7 sq mi, 48.4 km2," 6,948/sq mi",https://en.wikipedia.org/wiki/New_Haven
211,Stamford,Connecticut," 129,775"," 122,643", +5.82%, 37.6 sq mi, 97.4 km2," 3,434/sq mi",https://en.wikipedia.org/wiki/Stamford
212,Concord,California," 129,688"," 122,067", +6.24%, 30.5 sq mi, 79.0 km2," 4,221/sq mi",https://en.wikipedia.org/wiki/Concord
213,Kent,Washington," 129,618"," 92,411", +40.26%, 33.7 sq mi, 87.3 km2," 3,784/sq mi",https://en.wikipedia.org/wiki/Kent
214,Santa_Clara,California," 129,488"," 116,468", +11.18%, 18.4 sq mi, 47.7 km2," 6,845/sq mi",https://en.wikipedia.org/wiki/Santa_Clara
215,Elizabeth,NewJersey," 128,885"," 124,969", +3.13%, 12.3 sq mi, 31.9 km2," 10,459/sq mi",https://en.wikipedia.org/wiki/Elizabeth
216,Round_Rock,Texas," 128,739"," 99,887", +28.88%, 35.6 sq mi, 92.2 km2," 3,396/sq mi",https://en.wikipedia.org/wiki/Round_Rock
217,Thousand_Oaks,California," 127,690"," 126,683", +0.79%, 55.2 sq mi, 143.0 km2," 2,335/sq mi",https://en.wikipedia.org/wiki/Thousand_Oaks
218,Lafayette,Louisiana," 126,143"," 120,623", +4.58%, 53.8 sq mi, 139.3 km2," 2,372/sq mi",https://en.wikipedia.org/wiki/Lafayette
219,Athens,Georgia," 125,964"," 115,452", +9.11%, 116.4 sq mi, 301.5 km2," 1,060/sq mi",https://en.wikipedia.org/wiki/Athens
220,Topeka,Kansas," 125,904"," 127,473", −1.23%, 61.5 sq mi, 159.3 km2," 2,062/sq mi",https://en.wikipedia.org/wiki/Topeka
221,Simi_Valley,California," 125,851"," 124,237", +1.30%, 41.5 sq mi, 107.5 km2," 3,044/sq mi",https://en.wikipedia.org/wiki/Simi_Valley
222,Fargo,NorthDakota," 124,844"," 105,549", +18.28%, 49.3 sq mi, 127.7 km2," 2,450/sq mi",https://en.wikipedia.org/wiki/Fargo
